index,value
1959 Jan,315.42
1959 Feb,316.31
1959 Mar,316.5
1959 Apr,317.56
1959 May,318.13
1959 Jun,318
1959 Jul,316.39
1959 Aug,314.65
1959 Sep,313.68
1959 Oct,313.18
1959 Nov,314.66
1959 Dec,315.43
1960 Jan,316.27
1960 Feb,316.81
1960 Mar,317.42
1960 Apr,318.87
1960 May,319.87
1960 Jun,319.43
1960 Jul,318.01
1960 Aug,315.74
1960 Sep,314
1960 Oct,313.68
1960 Nov,314.84
1960 Dec,316.03
1961 Jan,316.73
1961 Feb,317.54
1961 Mar,318.38
1961 Apr,319.31
1961 May,320.42
1961 Jun,319.61
1961 Jul,318.42
1961 Aug,316.63
1961 Sep,314.83
1961 Oct,315.16
1961 Nov,315.94
1961 Dec,316.85
1962 Jan,317.78
1962 Feb,318.4
1962 Mar,319.53
1962 Apr,320.42
1962 May,320.85
1962 Jun,320.45
1962 Jul,319.45
1962 Aug,317.25
1962 Sep,316.11
1962 Oct,315.27
1962 Nov,316.53
1962 Dec,317.53
1963 Jan,318.58
1963 Feb,318.92
1963 Mar,319.7
1963 Apr,321.22
1963 May,322.08
1963 Jun,321.31
1963 Jul,319.58
1963 Aug,317.61
1963 Sep,316.05
1963 Oct,315.83
1963 Nov,316.91
1963 Dec,318.2
1964 Jan,319.41
1964 Feb,320.07
1964 Mar,320.74
1964 Apr,321.4
1964 May,322.06
1964 Jun,321.73
1964 Jul,320.27
1964 Aug,318.54
1964 Sep,316.54
1964 Oct,316.71
1964 Nov,317.53
1964 Dec,318.55
1965 Jan,319.27
1965 Feb,320.28
1965 Mar,320.73
1965 Apr,321.97
1965 May,322
1965 Jun,321.71
1965 Jul,321.05
1965 Aug,318.71
1965 Sep,317.66
1965 Oct,317.14
1965 Nov,318.7
1965 Dec,319.25
1966 Jan,320.46
1966 Feb,321.43
1966 Mar,322.23
1966 Apr,323.54
1966 May,323.91
1966 Jun,323.59
1966 Jul,322.24
1966 Aug,320.2
1966 Sep,318.48
1966 Oct,317.94
1966 Nov,319.63
1966 Dec,320.87
1967 Jan,322.17
1967 Feb,322.34
1967 Mar,322.88
1967 Apr,324.25
1967 May,324.83
1967 Jun,323.93
1967 Jul,322.38
1967 Aug,320.76
1967 Sep,319.1
1967 Oct,319.24
1967 Nov,320.56
1967 Dec,321.8
1968 Jan,322.4
1968 Feb,322.99
1968 Mar,323.73
1968 Apr,324.86
1968 May,325.4
1968 Jun,325.2
