Date,England,Scotland,Wales,Northern Ireland
01-Apr-05,88840,10540,4520,3290
01-May-05,91030,10180,4540,3260
01-Jun-05,103700,12120,5050,3790
01-Jul-05,107770,12530,5160,3710
01-Aug-05,107040,12000,5200,3910
01-Sep-05,107710,12510,5370,3970
01-Oct-05,100650,11410,5090,3710
01-Nov-05,103570,11690,5290,3990
01-Dec-05,115150,11430,5750,3970
01-Jan-06,83980,8500,3970,3290
01-Feb-06,87550,7150,4310,3220
01-Mar-06,112090,11180,5630,3810
01-Apr-06,101830,10690,5080,3670
01-May-06,113160,11990,5680,4200
01-Jun-06,135030,15670,6970,5300
01-Jul-06,125720,12790,6090,3890
01-Aug-06,132180,13430,6440,4510
01-Sep-06,126890,13930,6560,4720
01-Oct-06,124980,13030,6660,4600
01-Nov-06,127530,13120,6580,4540
01-Dec-06,133770,12920,7040,4580
01-Jan-07,97580,9170,4720,3410
01-Feb-07,96560,7580,4530,3610
01-Mar-07,117970,11920,5940,3950
01-Apr-07,105780,11700,5280,3690
01-May-07,117560,12750,5830,3970
01-Jun-07,134370,16360,6880,4070
01-Jul-07,128660,13290,6390,3050
01-Aug-07,136790,15480,6850,3210
01-Sep-07,109250,12270,5270,2420
01-Oct-07,113080,12700,5660,2260
01-Nov-07,112770,13810,5790,1950
01-Dec-07,91140,10180,4940,1420
01-Jan-08,67220,7800,3110,1220
01-Feb-08,71820,7920,3430,1370
01-Mar-08,68100,9080,3620,1250
01-Apr-08,73130,9910,3810,1500
01-May-08,74470,10620,4000,1480
01-Jun-08,69150,9580,3750,1300
01-Jul-08,62400,8020,3130,1010
01-Aug-08,57810,7830,2900,1020
01-Sep-08,51080,6650,2670,930
01-Oct-08,59710,8000,3290,1020
01-Nov-08,45780,5650,2460,1020
01-Dec-08,50260,5300,2680,940
01-Jan-09,34750,3920,1670,720
01-Feb-09,36580,3560,1850,760
01-Mar-09,49130,4950,2820,1090
01-Apr-09,48840,5220,2580,1050
01-May-09,54720,5870,2900,1150
01-Jun-09,63710,6440,3220,1390
01-Jul-09,73760,7110,3700,1520
01-Aug-09,68080,6370,3130,1240
01-Sep-09,68260,6630,3270,1320
01-Oct-09,76320,7380,3710,1430
01-Nov-09,71150,6950,3430,1380
01-Dec-09,89920,7440,4210,1750
01-Jan-10,43110,4370,1920,830
01-Feb-10,50920,4010,2460,980
01-Mar-10,61810,5720,3050,1250
01-Apr-10,60830,6380,3130,1320
01-May-10,60500,5870,3090,1100
01-Jun-10,72370,7230,3610,1370
01-Jul-10,76590,7550,3630,1420
01-Aug-10,70320,6540,3270,1290
01-Sep-10,66440,6540,3050,1220
01-Oct-10,67380,7020,3450,1340
01-Nov-10,65080,6290,3340,1180
01-Dec-10,65650,5600,3260,1090
01-Jan-11,44970,3980,2120,830
01-Feb-11,47830,3770,2370,910
01-Mar-11,57200,5370,2910,1120
01-Apr-11,58700,5790,2850,1170
01-May-11,56820,5700,2830,990
01-Jun-11,67500,6640,3430,1210
01-Jul-11,71550,7000,3450,1180
01-Aug-11,73720,6610,3600,1250
01-Sep-11,73310,7210,3560,1450
01-Oct-11,67030,6170,3370,1270
01-Nov-11,69730,6390,3620,1370
01-Dec-11,73780,6110,3760,1290
01-Jan-12,52630,4540,2350,1010
01-Feb-12,54440,4100,2570,1190
01-Mar-12,74960,6830,3600,1330
01-Apr-12,53590,5610,2860,980
01-May-12,64960,6110,3100,1180
01-Jun-12,72590,7600,3700,1420
01-Jul-12,71240,6140,3280,1220
01-Aug-12,77690,7460,3750,1540
01-Sep-12,64200,5830,3070,1290
01-Oct-12,71490,6450,3620,1500
01-Nov-12,76910,7090,3870,1580
01-Dec-12,69100,6070,3510,1330
01-Jan-13,53990,4610,2340,1120
01-Feb-13,56120,4380,2680,1180
01-Mar-13,67740,6390,3430,1440
01-Apr-13,61780,6270,2960,1170
01-May-13,78170,7780,3790,1530
01-Jun-13,77850,7800,4050,1570
01-Jul-13,85310,7650,4100,1650
01-Aug-13,90850,8700,4260,1820
01-Sep-13,80640,7520,3860,1660
01-Oct-13,87730,8110,4280,1800
01-Nov-13,94020,9000,4620,2030
01-Dec-13,91030,7310,4480,1880
01-Jan-14,75750,6500,3350,1680
01-Feb-14,75100,5680,3470,1690
01-Mar-14,79280,6830,3770,1690
